Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000          -6.5227      -6.5486       0.0259   100.1
0.0010          -6.5369      -6.5486       0.0116    44.9
0.0020          -6.5363      -6.5485       0.0123    47.4
0.0030          -6.5356      -6.5485       0.0129    49.9
0.0040          -6.5350      -6.5485       0.0135    52.4
0.0050          -6.5343      -6.5485       0.0142    54.8
0.0060          -6.5337      -6.5485       0.0148    57.2
0.0070          -6.5331      -6.5485       0.0154    59.5
0.0080          -6.5325      -6.5484       0.0160    61.8
0.0090          -6.5318      -6.5484       0.0166    64.1
0.0100          -6.5312      -6.5484       0.0171    66.3
0.0110          -6.5306      -6.5483       0.0177    68.4
0.0120          -6.5300      -6.5483       0.0182    70.6
0.0130          -6.5294      -6.5482       0.0188    72.7
0.0140          -6.5289      -6.5482       0.0193    74.7
0.0150          -6.5283      -6.5481       0.0198    76.7
0.0160          -6.5277      -6.5480       0.0203    78.6
0.0170          -6.5271      -6.5479       0.0208    80.6
0.0180          -6.5266      -6.5479       0.0213    82.4
0.0190          -6.5260      -6.5478       0.0218    84.2
0.0200          -6.5254      -6.5477       0.0222    86.0
0.0210          -6.5249      -6.5476       0.0227    87.7
0.0220          -6.5243      -6.5475       0.0231    89.4
0.0230          -6.5238      -6.5473       0.0235    91.1
0.0240          -6.5232      -6.5472       0.0240    92.7
0.0250          -6.5227      -6.5471       0.0244    94.2
0.0260          -6.5222      -6.5469       0.0247    95.7
0.0270          -6.5217      -6.5468       0.0251    97.2
0.0280          -6.5211      -6.5466       0.0255    98.6
0.0290          -6.5206      -6.5464       0.0258    99.9
0.0300          -6.5201      -6.5463       0.0262   101.2
0.0310          -6.5196      -6.5461       0.0265   102.5
0.0320          -6.5191      -6.5459       0.0268   103.7
0.0330          -6.5186      -6.5457       0.0271   104.8
0.0340          -6.5181      -6.5454       0.0274   106.0
0.0350          -6.5176      -6.5452       0.0277   107.0
0.0360          -6.5171      -6.5450       0.0279   108.0
0.0370          -6.5166      -6.5447       0.0282   109.0
0.0380          -6.5161      -6.5445       0.0284   109.9
0.0390          -6.5156      -6.5442       0.0286   110.8
0.0400          -6.5151      -6.5439       0.0288   111.6
0.0410          -6.5146      -6.5436       0.0290   112.4
0.0420          -6.5141      -6.5433       0.0292   113.1
0.0430          -6.5136      -6.5430       0.0294   113.7
0.0440          -6.5131      -6.5427       0.0296   114.3
0.0450          -6.5127      -6.5424       0.0297   114.9
0.0460          -6.5122      -6.5420       0.0298   115.4
0.0470          -6.5117      -6.5417       0.0300   115.9
0.0480          -6.5112      -6.5413       0.0301   116.3
0.0490          -6.5108      -6.5409       0.0301   116.6
0.0500          -6.5103      -6.5405       0.0302   116.9
0.0510          -6.5098      -6.5401       0.0303   117.2
0.0520          -6.5093      -6.5397       0.0303   117.3
0.0530          -6.5089      -6.5392       0.0304   117.5
0.0540          -6.5084      -6.5388       0.0304   117.6
0.0550          -6.5079      -6.5383       0.0304   117.6
0.0560          -6.5075      -6.5379       0.0304   117.6
0.0570          -6.5070      -6.5374       0.0304   117.5
0.0580          -6.5065      -6.5369       0.0304   117.4
0.0590          -6.5060      -6.5363       0.0303   117.2
0.0600          -6.5056      -6.5358       0.0303   117.0
0.0610          -6.5051      -6.5353       0.0302   116.8
0.0620          -6.5046      -6.5347       0.0301   116.4
0.0630          -6.5041      -6.5341       0.0300   116.0
0.0640          -6.5037      -6.5336       0.0299   115.6
0.0650          -6.5032      -6.5330       0.0298   115.1
0.0660          -6.5027      -6.5323       0.0296   114.6
0.0670          -6.5022      -6.5317       0.0295   114.0
0.0680          -6.5018      -6.5311       0.0293   113.4
0.0690          -6.5013      -6.5304       0.0291   112.7
0.0700          -6.5008      -6.5297       0.0290   112.0
0.0710          -6.5003      -6.5291       0.0288   111.2
0.0720          -6.4998      -6.5284       0.0285   110.4
0.0730          -6.4993      -6.5276       0.0283   109.5
0.0740          -6.4988      -6.5269       0.0281   108.6
0.0750          -6.4983      -6.5262       0.0278   107.7
0.0760          -6.4978      -6.5254       0.0276   106.7
0.0770          -6.4973      -6.5246       0.0273   105.6
0.0780          -6.4968      -6.5239       0.0270   104.5
0.0790          -6.4963      -6.5231       0.0267   103.4
0.0800          -6.4958      -6.5222       0.0264   102.2
0.0810          -6.4953      -6.5214       0.0261   101.0
0.0820          -6.4948      -6.5206       0.0258    99.7
0.0830          -6.4943      -6.5197       0.0254    98.4
0.0840          -6.4938      -6.5189       0.0251    97.1
0.0850          -6.4932      -6.5180       0.0247    95.7
0.0860          -6.4927      -6.5171       0.0244    94.3
0.0870          -6.4922      -6.5162       0.0240    92.9
0.0880          -6.4916      -6.5153       0.0236    91.4
0.0890          -6.4911      -6.5143       0.0232    89.9
0.0900          -6.4906      -6.5134       0.0228    88.4
0.0910          -6.4900      -6.5125       0.0224    86.8
0.0920          -6.4895      -6.5115       0.0220    85.2
0.0930          -6.4889      -6.5105       0.0216    83.6
0.0940          -6.4883      -6.5095       0.0212    82.0
0.0950          -6.4878      -6.5085       0.0208    80.4
0.0960          -6.4872      -6.5076       0.0203    78.7
0.0970          -6.4866      -6.5065       0.0199    77.0
0.0980          -6.4861      -6.5055       0.0195    75.3
0.0990          -6.4855      -6.5045       0.0190    73.6
0.1000          -6.4849      -6.5035       0.0186    71.9
