epoch,step,train_Energy_MAE,train_Energy_RMSE,train_Force_MAE,train_Force_RMSE,train_Magmom_MAE,train_Magmom_RMSE,train_Stress_MAE,train_Stress_RMSE,train_Total_Loss,val_Energy_MAE,val_Energy_RMSE,val_Force_MAE,val_Force_RMSE,val_Magmom_MAE,val_Magmom_RMSE,val_Stress_MAE,val_Stress_RMSE,val_Total_Loss
0,115,,,,,,,,,,0.28820303082466125,0.28820303082466125,6.01256761001423e-06,8.397169040108565e-06,0.0,0.0,0.3897821605205536,0.6750889420509338,0.10746389627456665
0,115,0.4842095971107483,0.4842095971107483,5.191061973164324e-06,7.688461664656643e-06,0.0,0.0,0.39597028493881226,0.6858144402503967,0.38805845379829407,,,,,,,,,
1,231,,,,,,,,,,0.26173263788223267,0.26173263788223267,9.542930456518661e-06,1.3492252946889494e-05,0.0,0.0,0.5989493131637573,1.0373615026474,0.1135750487446785
1,231,0.39568397402763367,0.39568397402763367,9.01132352737477e-06,1.2967312613909598e-05,0.0,0.0,0.4084759056568146,0.7074558138847351,0.2661609947681427,,,,,,,,,
2,347,,,,,,,,,,0.2475622445344925,0.2475622445344925,1.0962359738186933e-05,1.582508411956951e-05,0.0,0.0,0.9316083192825317,1.6135387420654297,0.13944877684116364
2,347,0.30013057589530945,0.30013057589530945,1.313378925260622e-05,1.890712883323431e-05,0.0,0.0,0.45336684584617615,0.785187840461731,0.17307926714420319,,,,,,,,,
3,463,,,,,,,,,,0.2416088581085205,0.2416088581085205,1.0428108907944988e-05,1.4709749848407228e-05,0.0,0.0,1.0000505447387695,1.732087254524231,0.13792294263839722
3,463,0.25912171602249146,0.25912171602249146,1.4745508451596834e-05,2.124529601132963e-05,0.0,0.0,0.6514275074005127,1.12822687625885,0.1787203550338745,,,,,,,,,
4,579,,,,,,,,,,0.23394039273262024,0.23394039273262024,1.0376175850979052e-05,1.4604021089326125e-05,0.0,0.0,1.151720404624939,1.9947904348373413,0.146997332572937
4,579,0.22119395434856415,0.22119395434856415,1.587916813150514e-05,2.2911646738066338e-05,0.0,0.0,0.5541260838508606,0.9596877694129944,0.1195511594414711,,,,,,,,,
5,695,,,,,,,,,,0.22189529240131378,0.22189529240131378,1.094328035833314e-05,1.5112823348317761e-05,0.0,0.0,1.0881980657577515,1.8847579956054688,0.14070852100849152
5,695,0.1897805631160736,0.1897805631160736,1.5386787708848715e-05,2.2547257685801014e-05,0.0,0.0,0.4770004451274872,0.8261113166809082,0.09139614552259445,,,,,,,,,
6,811,,,,,,,,,,0.20639154314994812,0.20639154314994812,1.0831749023054726e-05,1.4868571270199027e-05,0.0,0.0,1.1084635257720947,1.919860601425171,0.13787013292312622
6,811,0.15779097378253937,0.15779097378253937,1.6579859220655635e-05,2.4401066184509546e-05,0.0,0.0,0.3894204795360565,0.6744134426116943,0.06954347342252731,,,,,,,,,
7,927,,,,,,,,,,0.20201914012432098,0.20201914012432098,1.2137234989495482e-05,1.643792711547576e-05,0.0,0.0,1.200968623161316,2.0800764560699463,0.15262450277805328
7,927,0.14074595272541046,0.14074595272541046,1.726462687656749e-05,2.5308299882453866e-05,0.0,0.0,0.34983029961586,0.6058351993560791,0.058468300849199295,,,,,,,,,
8,1043,,,,,,,,,,0.19414114952087402,0.19414114952087402,1.1809975148935337e-05,1.6023381249397062e-05,0.0,0.0,1.2439721822738647,2.154564380645752,0.1571507453918457
8,1043,0.12622500956058502,0.12622500956058502,1.7718588424031623e-05,2.5998495402745903e-05,0.0,0.0,0.3230028748512268,0.5593704581260681,0.05124177038669586,,,,,,,,,
9,1159,,,,,,,,,,0.1979067325592041,0.1979067325592041,1.2265901204955298e-05,1.6722407963243313e-05,0.0,0.0,1.3795310258865356,2.3893511295318604,0.17349658906459808
9,1159,0.11703333258628845,0.11703333258628845,1.789913949323818e-05,2.6368117687525228e-05,0.0,0.0,0.29078739881515503,0.5035724639892578,0.042409349232912064,,,,,,,,,
10,1275,,,,,,,,,,0.19220201671123505,0.19220201671123505,1.2413630429364275e-05,1.6718531696824357e-05,0.0,0.0,1.4524351358413696,2.5156285762786865,0.17643329501152039
10,1275,0.10581305623054504,0.10581305623054504,1.8632717910804786e-05,2.7421598133514635e-05,0.0,0.0,0.3031489849090576,0.5249797105789185,0.03447265923023224,,,,,,,,,
