epoch,step,train_Energy_MAE,train_Energy_RMSE,train_Force_MAE,train_Force_RMSE,train_Magmom_MAE,train_Magmom_RMSE,train_Stress_MAE,train_Stress_RMSE,train_Total_Loss,val_Energy_MAE,val_Energy_RMSE,val_Force_MAE,val_Force_RMSE,val_Magmom_MAE,val_Magmom_RMSE,val_Stress_MAE,val_Stress_RMSE,val_Total_Loss
0,5,,,,,,,,,,1.4702975749969482,1.7257707118988037,0.0222151055932045,0.0312960222363472,0.0,0.0,0.26738178730010986,0.9279962778091431,2.9878759384155273
0,5,1.3603460788726807,1.6362141370773315,0.026427358388900757,0.05397818982601166,0.0,0.0,0.27670976519584656,1.22390615940094,2.7703921794891357,,,,,,,,,
1,11,,,,,,,,,,1.4485365152359009,1.7005122900009155,0.023836595937609673,0.03315885365009308,0.0,0.0,0.4005369544029236,1.7147670984268188,2.922245740890503
1,11,1.3363560438156128,1.610353708267212,0.023595938459038734,0.046586863696575165,0.0,0.0,0.2478756159543991,0.9292510747909546,2.6655936241149902,,,,,,,,,
2,17,,,,,,,,,,1.4228057861328125,1.669672966003418,0.026640236377716064,0.03685802221298218,0.0,0.0,0.48759299516677856,2.1327855587005615,2.834653854370117
2,17,1.3076435327529907,1.5711860656738281,0.0250864140689373,0.04994326829910278,0.0,0.0,0.24371972680091858,0.9990860819816589,2.5452868938446045,,,,,,,,,
3,23,,,,,,,,,,1.3935385942459106,1.6345516443252563,0.030202943831682205,0.04185481369495392,0.0,0.0,0.48095259070396423,1.8086166381835938,2.7062220573425293
3,23,1.2758023738861084,1.5337353944778442,0.030303362756967545,0.05856935679912567,0.0,0.0,0.27381518483161926,0.8789101839065552,2.418611764907837,,,,,,,,,
4,29,,,,,,,,,,1.3605939149856567,1.5952255725860596,0.03425421193242073,0.04807822033762932,0.0,0.0,0.4539550840854645,1.5495855808258057,2.571068286895752
4,29,1.2306095361709595,1.48045015335083,0.03301563113927841,0.06717798858880997,0.0,0.0,0.3060770332813263,0.9509900212287903,2.2399215698242188,,,,,,,,,
5,35,,,,,,,,,,1.3262587785720825,1.5557867288589478,0.038568608462810516,0.05432944372296333,0.0,0.0,0.5645036697387695,2.003690004348755,2.463571786880493
5,35,1.1834666728973389,1.4264214038848877,0.03968415781855583,0.08013521134853363,0.0,0.0,0.3565816879272461,1.0736143589019775,2.0668678283691406,,,,,,,,,
6,41,,,,,,,,,,1.290574073791504,1.5146235227584839,0.04290364682674408,0.060532115399837494,0.0,0.0,0.7485557794570923,2.851229190826416,2.3790438175201416
6,41,1.1255453824996948,1.334773063659668,0.046782784163951874,0.09764888137578964,0.0,0.0,0.41956010460853577,1.221211314201355,1.8670682907104492,,,,,,,,,
7,47,,,,,,,,,,1.2498056888580322,1.4675625562667847,0.047925811260938644,0.06829797476530075,0.0,0.0,0.8038972020149231,2.9118409156799316,2.243192672729492
7,47,1.0650755167007446,1.2724065780639648,0.05077703669667244,0.1066315621137619,0.0,0.0,0.4904385209083557,1.4148695468902588,1.6744011640548706,,,,,,,,,
