epoch,step,train_Energy_MAE,train_Energy_RMSE,train_Force_MAE,train_Force_RMSE,train_Magmom_MAE,train_Magmom_RMSE,train_Stress_MAE,train_Stress_RMSE,train_Total_Loss,val_Energy_MAE,val_Energy_RMSE,val_Force_MAE,val_Force_RMSE,val_Magmom_MAE,val_Magmom_RMSE,val_Stress_MAE,val_Stress_RMSE,val_Total_Loss
0,7,,,,,,,,,,0.4583306312561035,0.4583306312561035,9.923011248247349e-07,1.5845507732592523e-06,0.0,0.0,0.12349282205104828,0.21389399468898773,0.21052448451519012
0,7,0.4845156669616699,0.4845156669616699,4.507820960952813e-07,6.597180117751122e-07,0.0,0.0,0.3008517324924469,0.5210892558097839,0.2381380796432495,,,,,,,,,
1,15,,,,,,,,,,0.41189002990722656,0.41189002990722656,1.9491940292937215e-06,3.2825009839143604e-06,0.0,0.0,0.03903621807694435,0.06761002540588379,0.16969911754131317
1,15,0.440000057220459,0.440000057220459,1.3531499689634074e-06,2.185598532378208e-06,0.0,0.0,0.06345583498477936,0.10990642011165619,0.19390982389450073,,,,,,,,,
2,23,,,,,,,,,,0.3587188720703125,0.3587188720703125,3.2178513720282353e-06,5.462632543640211e-06,0.0,0.0,0.03734646737575531,0.06468193233013153,0.12872107326984406
2,23,0.39083331823349,0.39083331823349,2.385568905083346e-06,3.940078386222012e-06,0.0,0.0,0.053633689880371094,0.09289316833019257,0.15316681563854218,,,,,,,,,
3,31,,,,,,,,,,0.2958974838256836,0.2958974838256836,4.7979528972064145e-06,8.152106602210552e-06,0.0,0.0,0.010739555582404137,0.018595591187477112,0.08755877614021301
3,31,0.3336590528488159,0.3336590528488159,3.887101229338441e-06,6.4245609792124014e-06,0.0,0.0,0.06857134401798248,0.118764229118824,0.11182241141796112,,,,,,,,,
4,39,,,,,,,,,,0.21893978118896484,0.21893978118896484,6.6787820287572686e-06,1.1202369933016598e-05,0.0,0.0,0.019412243738770485,0.033614013344049454,0.04794592782855034
4,39,0.26507699489593506,0.26507699489593506,5.472277280205162e-06,9.060068805410992e-06,0.0,0.0,0.05391332507133484,0.0933738648891449,0.07087843120098114,,,,,,,,,
5,47,,,,,,,,,,0.11714839935302734,0.11714839935302734,9.121101356868166e-06,1.5058009012136608e-05,0.0,0.0,0.08622504025697708,0.14933133125305176,0.013946746475994587
5,47,0.17853212356567383,0.17853212356567383,7.611785804328974e-06,1.2495580449467525e-05,0.0,0.0,0.08996682614088058,0.1558162122964859,0.033143043518066406,,,,,,,,,
6,55,,,,,,,,,,0.02010345458984375,0.02010345458984375,1.0031017154688016e-05,1.638438152440358e-05,0.0,0.0,0.0620199590921402,0.10740780830383301,0.0005195135017856956
6,55,0.07255172729492188,0.07255172729492188,9.686503290140536e-06,1.567939943925012e-05,0.0,0.0,0.0905819982290268,0.15687835216522217,0.006517969071865082,,,,,,,,,
7,63,,,,,,,,,,0.027620315551757812,0.027620315551757812,9.40915197134018e-06,1.5124276615097187e-05,0.0,0.0,0.11584135890007019,0.20062975585460663,0.0011654050322249532
7,63,0.013164997100830078,0.013164997100830078,9.767033589014318e-06,1.5560151950921863e-05,0.0,0.0,0.08260136097669601,0.1430562138557434,0.0004810463869944215,,,,,,,,,
8,71,,,,,,,,,,0.013774871826171875,0.013774871826171875,6.8287054091342725e-06,1.1454106243036222e-05,0.0,0.0,0.11323241144418716,0.19611206650733948,0.0005743466317653656
8,71,0.025915861129760742,0.025915861129760742,8.436506504949648e-06,1.3487409887602553e-05,0.0,0.0,0.07535339891910553,0.1305040866136551,0.0009344150312244892,,,,,,,,,
9,79,,,,,,,,,,0.008875846862792969,0.008875846862792969,6.1341870605247095e-06,1.0311033292964566e-05,0.0,0.0,0.0920872762799263,0.15948732197284698,0.0003331428160890937
9,79,0.007629990577697754,0.007629990577697754,6.209706043591723e-06,1.0372348697273992e-05,0.0,0.0,0.08487442880868912,0.14699441194534302,0.0003228330169804394,,,,,,,,,
10,87,,,,,,,,,,0.005706787109375,0.005706787109375,6.858251708763419e-06,1.118474938266445e-05,0.0,0.0,0.0328480489552021,0.05688164010643959,6.49227513349615e-05
10,87,0.006813168525695801,0.006813168525695801,6.148045940790325e-06,1.0088419912790414e-05,0.0,0.0,0.05443112552165985,0.0942646935582161,0.00019373557006474584,,,,,,,,,
11,95,,,,,,,,,,0.005459785461425781,0.005459785461425781,6.967014542169636e-06,1.1206042472622357e-05,0.0,0.0,0.019269466400146484,0.03336254507303238,4.0939976315712556e-05
11,95,0.005661606788635254,0.005661606788635254,6.7739483711193316e-06,1.0864858268178068e-05,0.0,0.0,0.05147171765565872,0.0891389474272728,0.00013357383431866765,,,,,,,,,
12,103,,,,,,,,,,0.0015401840209960938,0.0015401840209960938,6.600958386115963e-06,1.0615675819281023e-05,0.0,0.0,0.00353915779851377,0.006117063574492931,2.7464643608254846e-06
12,103,0.00430142879486084,0.00430142879486084,6.550366379087791e-06,1.0457434655108955e-05,0.0,0.0,0.02825116738677025,0.04891986399888992,5.140244320500642e-05,,,,,,,,,
13,111,,,,,,,,,,0.0015802383422851562,0.0015802383422851562,6.731413122906815e-06,1.079737558029592e-05,0.0,0.0,0.0049171349965035915,0.008503659628331661,3.220392045477638e-06
13,111,0.0030901432037353516,0.0030901432037353516,6.45863838144578e-06,1.0290155842085369e-05,0.0,0.0,0.01693614013493061,0.029321450740098953,2.504558869986795e-05,,,,,,,,,
14,119,,,,,,,,,,0.0023813247680664062,0.0023813247680664062,6.721774298057426e-06,1.0770439075713512e-05,0.0,0.0,0.009473941288888454,0.01639636605978012,8.359231287613511e-06
14,119,0.0028821229934692383,0.0028821229934692383,6.607594059460098e-06,1.0488866792002227e-05,0.0,0.0,0.012277564965188503,0.021252799779176712,1.594351851963438e-05,,,,,,,,,
15,127,,,,,,,,,,0.0013608932495117188,0.0013608932495117188,6.645576377195539e-06,1.0628342351992615e-05,0.0,0.0,0.009881655685603619,0.017102602869272232,4.77713365398813e-06
15,127,0.0030089616775512695,0.0030089616775512695,6.527810455736471e-06,1.0363135515945032e-05,0.0,0.0,0.011022997088730335,0.019079921767115593,1.553122274344787e-05,,,,,,,,,
16,135,,,,,,,,,,0.0008916854858398438,0.0008916854858398438,6.628199571423465e-06,1.0522664524614811e-05,0.0,0.0,0.006955538410693407,0.01203444879502058,2.2434933271142654e-06
16,135,0.0029158592224121094,0.0029158592224121094,6.452588877436938e-06,1.0220578587905038e-05,0.0,0.0,0.006218201946467161,0.010757756419479847,1.2488340871641412e-05,,,,,,,,,
17,143,,,,,,,,,,0.0021305084228515625,0.0021305084228515625,6.724343165842583e-06,1.0717596524045803e-05,0.0,0.0,0.005367649253457785,0.009284050203859806,5.401117050496396e-06
17,143,0.0028803348541259766,0.0028803348541259766,6.454899903474143e-06,1.0207572813669685e-05,0.0,0.0,0.0051005929708480835,0.008822081610560417,1.1767658179451246e-05,,,,,,,,,
18,151,,,,,,,,,,0.0007228851318359375,0.0007228851318359375,6.537403351103421e-06,1.0454004950588569e-05,0.0,0.0,3.79486518795602e-05,5.7257340813521296e-05,5.227050223766128e-07
18,151,0.0029631853103637695,0.0029631853103637695,6.458205007220386e-06,1.0210634172835853e-05,0.0,0.0,0.002850782126188278,0.004925836808979511,1.2812101886083838e-05,,,,,,,,,
19,159,,,,,,,,,,0.0017518997192382812,0.0017518997192382812,6.665118689852534e-06,1.0623151865729596e-05,0.0,0.0,0.002847393974661827,0.004919080529361963,3.311238970127306e-06
