epoch,step,train_Energy_MAE,train_Energy_RMSE,train_Force_MAE,train_Force_RMSE,train_Magmom_MAE,train_Magmom_RMSE,train_Stress_MAE,train_Stress_RMSE,train_Total_Loss,val_Energy_MAE,val_Energy_RMSE,val_Force_MAE,val_Force_RMSE,val_Magmom_MAE,val_Magmom_RMSE,val_Stress_MAE,val_Stress_RMSE,val_Total_Loss
0,7,,,,,,,,,,0.1231985092163086,0.1231985092163086,6.716834377584746e-07,9.8321095265419e-07,0.0,0.0,0.15882794559001923,0.2750956118106842,0.022745631635189056
0,7,0.10872399806976318,0.10872399806976318,1.8945423789773486e-06,2.5739366265042918e-06,0.0,0.0,0.957926869392395,1.6591730117797852,0.44465172290802,,,,,,,,,
1,15,,,,,,,,,,0.11443805694580078,0.11443805694580078,5.170159624867665e-07,6.291104455158347e-07,0.0,0.0,0.25120818614959717,0.43510350584983826,0.03202757611870766
1,15,0.12568116188049316,0.12568116188049316,5.585105213867791e-07,7.901124945419724e-07,0.0,0.0,0.42523476481437683,0.7365268468856812,0.08520235121250153,,,,,,,,,
2,23,,,,,,,,,,0.08208465576171875,0.08208465576171875,9.235188827005913e-07,1.2885780051874463e-06,0.0,0.0,0.13166044652462006,0.22804038226604462,0.011938132345676422
2,23,0.10446977615356445,0.10446977615356445,6.04219906108483e-07,8.276005019069999e-07,0.0,0.0,0.21717584133148193,0.37615782022476196,0.03063683770596981,,,,,,,,,
3,31,,,,,,,,,,0.03847312927246094,0.03847312927246094,1.1462470865808427e-06,1.712506559670146e-06,0.0,0.0,0.12982288002967834,0.22485694289207458,0.0065362462773919106
3,31,0.06404304504394531,0.06404304504394531,9.894755521600018e-07,1.4483833865597262e-06,0.0,0.0,0.16350983083248138,0.28320473432540894,0.01421001274138689,,,,,,,,,
4,39,,,,,,,,,,0.0022287368774414062,0.0022287368774414062,1.3645446870214073e-06,2.0477680209296523e-06,0.0,0.0,0.11548396199941635,0.20002101361751556,0.004005807917565107
4,39,0.02126789093017578,0.02126789093017578,1.1863752433782793e-06,1.8060786715068389e-06,0.0,0.0,0.0850992500782013,0.14739328622817993,0.004382213577628136,,,,,,,,,
5,47,,,,,,,,,,0.01871204376220703,0.01871204376220703,1.3693739902009838e-06,2.094161118293414e-06,0.0,0.0,0.03540292754769325,0.06131651997566223,0.0007261121645569801
5,47,0.010288000106811523,0.010288000106811523,1.3269437886265223e-06,2.0453385332075413e-06,0.0,0.0,0.05284399911761284,0.09152530133724213,0.0016535584582015872,,,,,,,,,
6,55,,,,,,,,,,0.011479377746582031,0.011479377746582031,1.3154989346730872e-06,2.0403533653734485e-06,0.0,0.0,0.05642227455973625,0.09772317856550217,0.0010867579840123653
6,55,0.0151442289352417,0.0151442289352417,1.32802369989804e-06,2.0641803075704956e-06,0.0,0.0,0.036598313599824905,0.06338704377412796,0.0008470567408949137,,,,,,,,,
7,63,,,,,,,,,,0.0007333755493164062,0.0007333755493164062,1.3090451602693065e-06,2.0056033918081084e-06,0.0,0.0,0.0299052894115448,0.051794420927762985,0.00026880402583628893
7,63,0.005854249000549316,0.005854249000549316,1.31102194700361e-06,2.0370887341414345e-06,0.0,0.0,0.027929648756980896,0.04837252199649811,0.0006081035826355219,,,,,,,,,
8,71,,,,,,,,,,0.003559112548828125,0.003559112548828125,1.2866153156210203e-06,1.972806103367475e-06,0.0,0.0,0.03586384654045105,0.06211506202816963,0.0003984954091720283
8,71,0.003688216209411621,0.003688216209411621,1.2729137779388111e-06,1.9691374291141983e-06,0.0,0.0,0.04684889316558838,0.0811416357755661,0.0008979720296338201,,,,,,,,,
9,79,,,,,,,,,,0.0024929046630859375,0.0024929046630859375,1.3189545597924734e-06,2.000445647354354e-06,0.0,0.0,0.001741435844451189,0.0030133447144180536,7.122602255549282e-06
9,79,0.004838347434997559,0.004838347434997559,1.2677651284320746e-06,1.9575973055907525e-06,0.0,0.0,0.02998899668455124,0.05193953961133957,0.0005572328809648752,,,,,,,,,
10,87,,,,,,,,,,0.000286102294921875,0.000286102294921875,1.2987836726097157e-06,1.969849336092011e-06,0.0,0.0,0.0013454918516799808,0.002327513415366411,6.235902105800051e-07
10,87,0.003270745277404785,0.003270745277404785,1.2780129736711388e-06,1.9750891624426004e-06,0.0,0.0,0.03135429695248604,0.05430430546402931,0.0005811990122310817,,,,,,,,,
11,95,,,,,,,,,,0.0025186538696289062,0.0025186538696289062,1.332466467829363e-06,2.02444880414987e-06,0.0,0.0,0.0014168411726132035,0.002451073843985796,6.944397682673298e-06
11,95,0.003441333770751953,0.003441333770751953,1.2704698519883095e-06,1.961953330464894e-06,0.0,0.0,0.04178748279809952,0.07237503677606583,0.000624467502348125,,,,,,,,,
12,103,,,,,,,,,,0.0015344619750976562,0.0015344619750976562,1.3264982499094913e-06,2.010863909163163e-06,0.0,0.0,0.06374283134937286,0.11040288954973221,0.00122123456094414
12,103,0.0029861927032470703,0.0029861927032470703,1.2758766843035119e-06,1.9603098735387903e-06,0.0,0.0,0.02904900163412094,0.050311386585235596,0.000571326061617583,,,,,,,,,
13,111,,,,,,,,,,0.0010938644409179688,0.0010938644409179688,1.291870489694702e-06,1.9616170447989134e-06,0.0,0.0,0.031460296362638474,0.05448777601122856,0.00029808832914568484
13,111,0.0027524232864379883,0.0027524232864379883,1.280160972783051e-06,1.9658082237583585e-06,0.0,0.0,0.034291334450244904,0.05939134210348129,0.0006777053349651396,,,,,,,,,
14,119,,,,,,,,,,0.00035953521728515625,0.00035953521728515625,1.3237877283245325e-06,1.989582415262703e-06,0.0,0.0,0.0507955439388752,0.08797740936279297,0.0007741316803731024
14,119,0.0029822587966918945,0.0029822587966918945,1.2610069006768754e-06,1.9315589270263445e-06,0.0,0.0,0.029029613360762596,0.050277769565582275,0.0005122206639498472,,,,,,,,,
15,127,,,,,,,,,,0.0006265640258789062,0.0006265640258789062,1.2833702385250945e-06,1.9334734133735765e-06,0.0,0.0,0.012312792241573334,0.021323323249816895,4.5860997488489375e-05
15,127,0.002887248992919922,0.002887248992919922,1.2607733879121952e-06,1.9299209270684514e-06,0.0,0.0,0.03931725025177002,0.06809648126363754,0.0005879471427761018,,,,,,,,,
16,135,,,,,,,,,,0.0012693405151367188,0.0012693405151367188,1.3246608432382345e-06,1.9817885004158597e-06,0.0,0.0,0.019902303814888,0.03446866571903229,0.00012042013258906081
16,135,0.002824068069458008,0.002824068069458008,1.2665956319324323e-06,1.929201516759349e-06,0.0,0.0,0.02508385479450226,0.04344352334737778,0.0002960854908451438,,,,,,,,,
17,143,,,,,,,,,,0.0015687942504882812,0.0015687942504882812,1.3358056776269223e-06,2.0002930796181317e-06,0.0,0.0,0.04115551337599754,0.07128047198057175,0.0005105517921037972
17,143,0.0028036832809448242,0.0028036832809448242,1.2687016806012252e-06,1.9311153209855547e-06,0.0,0.0,0.035378195345401764,0.061273861676454544,0.0004800540627911687,,,,,,,,,
18,151,,,,,,,,,,0.0019102096557617188,0.0019102096557617188,1.2965388123120647e-06,1.974719680220005e-06,0.0,0.0,0.018153470009565353,0.03143974021077156,0.00010249464685330167
18,151,0.0028307437896728516,0.0028307437896728516,1.2784777254637447e-06,1.9326464553159894e-06,0.0,0.0,0.01752772554755211,0.03035598434507847,0.00018803430430125445,,,,,,,,,
19,159,,,,,,,,,,0.0009050369262695312,0.0009050369262695312,1.3235975302450242e-06,1.9683886876009637e-06,0.0,0.0,0.05007103085517883,0.08672234416007996,0.0007528956048190594
19,159,0.0028829574584960938,0.0028829574584960938,1.2646531786231208e-06,1.92156608136429e-06,0.0,0.0,0.027786970138549805,0.0481254979968071,0.00034872523974627256,,,,,,,,,
