Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000          -6.4576      -6.5486       0.0909   351.8
0.0010          -6.4701      -6.5485       0.0785   303.5
0.0020          -6.4701      -6.5485       0.0784   303.3
0.0030          -6.4701      -6.5485       0.0784   303.1
0.0040          -6.4701      -6.5484       0.0783   302.8
0.0050          -6.4701      -6.5483       0.0782   302.4
0.0060          -6.4701      -6.5482       0.0781   302.0
0.0070          -6.4701      -6.5481       0.0779   301.4
0.0080          -6.4701      -6.5479       0.0778   300.8
0.0090          -6.4701      -6.5477       0.0776   300.2
0.0100          -6.4701      -6.5475       0.0774   299.4
0.0110          -6.4701      -6.5473       0.0772   298.6
0.0120          -6.4701      -6.5471       0.0770   297.7
0.0130          -6.4701      -6.5468       0.0767   296.7
0.0140          -6.4701      -6.5466       0.0764   295.7
0.0150          -6.4701      -6.5463       0.0762   294.6
0.0160          -6.4701      -6.5459       0.0758   293.4
0.0170          -6.4701      -6.5456       0.0755   292.1
0.0180          -6.4701      -6.5452       0.0752   290.8
0.0190          -6.4700      -6.5448       0.0748   289.4
0.0200          -6.4700      -6.5444       0.0744   287.9
0.0210          -6.4700      -6.5440       0.0740   286.3
0.0220          -6.4699      -6.5435       0.0736   284.6
0.0230          -6.4699      -6.5430       0.0731   282.9
0.0240          -6.4699      -6.5425       0.0727   281.1
0.0250          -6.4698      -6.5420       0.0722   279.3
0.0260          -6.4698      -6.5414       0.0717   277.3
0.0270          -6.4697      -6.5409       0.0712   275.3
0.0280          -6.4696      -6.5402       0.0706   273.2
0.0290          -6.4696      -6.5396       0.0701   271.0
0.0300          -6.4695      -6.5390       0.0695   268.7
0.0310          -6.4694      -6.5383       0.0689   266.4
0.0320          -6.4693      -6.5376       0.0682   263.9
0.0330          -6.4692      -6.5368       0.0676   261.4
0.0340          -6.4691      -6.5360       0.0669   258.9
0.0350          -6.4690      -6.5353       0.0662   256.2
0.0360          -6.4689      -6.5344       0.0655   253.5
0.0370          -6.4688      -6.5336       0.0648   250.6
0.0380          -6.4687      -6.5327       0.0640   247.8
0.0390          -6.4685      -6.5318       0.0633   244.8
0.0400          -6.4684      -6.5309       0.0625   241.7
0.0410          -6.4682      -6.5299       0.0617   238.6
0.0420          -6.4681      -6.5289       0.0609   235.4
0.0430          -6.4679      -6.5279       0.0600   232.2
0.0440          -6.4677      -6.5269       0.0592   228.8
0.0450          -6.4675      -6.5258       0.0583   225.4
0.0460          -6.4674      -6.5247       0.0574   221.9
0.0470          -6.4672      -6.5236       0.0565   218.4
0.0480          -6.4669      -6.5225       0.0555   214.8
0.0490          -6.4667      -6.5213       0.0546   211.1
0.0500          -6.4665      -6.5201       0.0536   207.3
0.0510          -6.4663      -6.5189       0.0526   203.5
0.0520          -6.4660      -6.5176       0.0516   199.6
0.0530          -6.4657      -6.5163       0.0506   195.7
0.0540          -6.4655      -6.5150       0.0496   191.7
0.0550          -6.4652      -6.5137       0.0485   187.7
0.0560          -6.4649      -6.5124       0.0475   183.6
0.0570          -6.4646      -6.5110       0.0464   179.4
0.0580          -6.4643      -6.5096       0.0453   175.2
0.0590          -6.4640      -6.5082       0.0442   171.0
0.0600          -6.4636      -6.5067       0.0431   166.7
0.0610          -6.4633      -6.5053       0.0420   162.4
0.0620          -6.4629      -6.5038       0.0409   158.1
0.0630          -6.4626      -6.5023       0.0397   153.7
0.0640          -6.4622      -6.5008       0.0386   149.4
0.0650          -6.4618      -6.4993       0.0375   145.0
0.0660          -6.4614      -6.4977       0.0363   140.5
0.0670          -6.4610      -6.4962       0.0352   136.1
0.0680          -6.4606      -6.4946       0.0340   131.7
0.0690          -6.4601      -6.4930       0.0329   127.3
0.0700          -6.4597      -6.4914       0.0318   122.9
0.0710          -6.4592      -6.4898       0.0306   118.5
0.0720          -6.4588      -6.4882       0.0295   114.1
0.0730          -6.4583      -6.4866       0.0284   109.7
0.0740          -6.4578      -6.4850       0.0273   105.4
0.0750          -6.4573      -6.4834       0.0261   101.1
0.0760          -6.4568      -6.4818       0.0251    96.9
0.0770          -6.4562      -6.4802       0.0240    92.7
0.0780          -6.4557      -6.4786       0.0229    88.6
0.0790          -6.4552      -6.4770       0.0219    84.6
0.0800          -6.4546      -6.4754       0.0208    80.6
0.0810          -6.4540      -6.4739       0.0198    76.7
0.0820          -6.4535      -6.4723       0.0189    72.9
0.0830          -6.4529      -6.4708       0.0179    69.2
0.0840          -6.4523      -6.4692       0.0170    65.6
0.0850          -6.4517      -6.4677       0.0161    62.2
0.0860          -6.4510      -6.4663       0.0152    58.8
0.0870          -6.4504      -6.4648       0.0144    55.6
0.0880          -6.4498      -6.4634       0.0136    52.5
0.0890          -6.4491      -6.4620       0.0128    49.6
0.0900          -6.4485      -6.4606       0.0121    46.8
0.0910          -6.4478      -6.4593       0.0114    44.2
0.0920          -6.4472      -6.4580       0.0108    41.8
0.0930          -6.4465      -6.4567       0.0102    39.5
0.0940          -6.4458      -6.4555       0.0097    37.4
0.0950          -6.4452      -6.4543       0.0092    35.5
0.0960          -6.4445      -6.4532       0.0087    33.8
0.0970          -6.4438      -6.4521       0.0083    32.3
0.0980          -6.4431      -6.4511       0.0080    31.0
0.0990          -6.4424      -6.4501       0.0077    29.9
0.1000          -6.4417      -6.4492       0.0075    29.1
